(1, 1, 1, 1, 1),0,[0, 10000, 0.0]
(1, 1, 1, 1, 1),1,[0, 10000, 0.0]
(1, 1, 1, 1, 1),2,[0, 10000, 0.0]
(1, 1, 1, 1, 1),3,[-170855, 10000, -17.0855]
(1, 1, 1, 1, 1),4,[0, 10000, 0.0]
(1, 1, 1, 1, 1),5,[-173410, 10000, -17.341]
(1, 1, 1, 1, 1),6,[-169910, 10000, -16.991]
(1, 1, 1, 1, 1),7,[-291970, 10000, -29.197]
(1, 1, 1, 1, 1),8,[0, 10000, 0.0]
(1, 1, 1, 1, 1),9,[-169330, 10000, -16.933]
(1, 1, 1, 1, 1),10,[-171170, 10000, -17.117]
(1, 1, 1, 1, 1),11,[-291515, 10000, -29.1515]
(1, 1, 1, 1, 1),12,[-171150, 10000, -17.115]
(1, 1, 1, 1, 1),13,[-289350, 10000, -28.935]
(1, 1, 1, 1, 1),14,[-290790, 10000, -29.079]
(1, 1, 1, 1, 1),15,[-347215, 10000, -34.7215]
(1, 1, 1, 1, 1),16,[0, 10000, 0.0]
(1, 1, 1, 1, 1),17,[-170765, 10000, -17.0765]
(1, 1, 1, 1, 1),18,[-170915, 10000, -17.0915]
(1, 1, 1, 1, 1),19,[-290965, 10000, -29.0965]
(1, 1, 1, 1, 1),20,[-171070, 10000, -17.107]
(1, 1, 1, 1, 1),21,[-290175, 10000, -29.0175]
(1, 1, 1, 1, 1),22,[-290345, 10000, -29.0345]
(1, 1, 1, 1, 1),23,[-346805, 10000, -34.6805]
(1, 1, 1, 1, 1),24,[-170075, 10000, -17.0075]
(1, 1, 1, 1, 1),25,[-289140, 10000, -28.914]
(1, 1, 1, 1, 1),26,[-294585, 10000, -29.4585]
(1, 1, 1, 1, 1),27,[-346055, 10000, -34.6055]
(1, 1, 1, 1, 1),28,[-288720, 10000, -28.872]
(1, 1, 1, 1, 1),29,[-346150, 10000, -34.615]
(1, 1, 1, 1, 1),30,[-346045, 10000, -34.6045]
(1, 1, 1, 1, 1),31,[-346020, 10000, -34.602]
(1, 1, 1, 1, 2),0,[0, 10000, 0.0]
(1, 1, 1, 1, 2),1,[-218170, 10000, -21.817]
(1, 1, 1, 1, 2),2,[-215130, 10000, -21.513]
(1, 1, 1, 1, 2),3,[-324335, 10000, -32.4335]
(1, 1, 1, 1, 2),4,[-215430, 10000, -21.543]
(1, 1, 1, 1, 2),5,[-324660, 10000, -32.466]
(1, 1, 1, 1, 2),6,[-324810, 10000, -32.481]
(1, 1, 1, 1, 2),7,[-363600, 10000, -36.36]
(1, 1, 1, 1, 2),8,[-215890, 10000, -21.589]
(1, 1, 1, 1, 2),9,[-324425, 10000, -32.4425]
(1, 1, 1, 1, 2),10,[-325655, 10000, -32.5655]
(1, 1, 1, 1, 2),11,[-364520, 10000, -36.452]
(1, 1, 1, 1, 2),12,[-325055, 10000, -32.5055]
(1, 1, 1, 1, 2),13,[-364230, 10000, -36.423]
(1, 1, 1, 1, 2),14,[-364675, 10000, -36.4675]
(1, 1, 1, 1, 2),15,[-346250, 10000, -34.625]
(1, 1, 1, 1, 2),16,[0, 10000, 0.0]
(1, 1, 1, 1, 2),17,[-173125, 10000, -17.3125]
(1, 1, 1, 1, 2),18,[-170890, 10000, -17.089]
(1, 1, 1, 1, 2),19,[-291235, 10000, -29.1235]
(1, 1, 1, 1, 2),20,[-173285, 10000, -17.3285]
(1, 1, 1, 1, 2),21,[-291545, 10000, -29.1545]
(1, 1, 1, 1, 2),22,[-291620, 10000, -29.162]
(1, 1, 1, 1, 2),23,[-347480, 10000, -34.748]
(1, 1, 1, 1, 2),24,[-171475, 10000, -17.1475]
(1, 1, 1, 1, 2),25,[-292075, 10000, -29.2075]
(1, 1, 1, 1, 2),26,[-293550, 10000, -29.355]
(1, 1, 1, 1, 2),27,[-345395, 10000, -34.5395]
(1, 1, 1, 1, 2),28,[-292430, 10000, -29.243]
(1, 1, 1, 1, 2),29,[-347425, 10000, -34.7425]
(1, 1, 1, 1, 2),30,[-347100, 10000, -34.71]
(1, 1, 1, 1, 2),31,[-345595, 10000, -34.5595]
