(1, 1),0,[0, 10000, 0.0]
(1, 1),1,[-123925, 10000, -12.3925]
(1, 1),2,[-127650, 10000, -12.765]
(1, 1),3,[-126900, 10000, -12.69]
(1, 2),0,[0, 10000, 0.0]
(1, 2),1,[122950, 10000, 12.295]
(1, 2),2,[123775, 10000, 12.3775]
(1, 2),3,[124225, 10000, 12.4225]
(1, 3),0,[0, 10000, 0.0]
(1, 3),1,[-127425, 10000, -12.7425]
(1, 3),2,[-127700, 10000, -12.77]
(1, 3),3,[-124400, 10000, -12.44]
(1, 4),0,[0, 10000, 0.0]
(1, 4),1,[126575, 10000, 12.6575]
(1, 4),2,[125625, 10000, 12.5625]
(1, 4),3,[124200, 10000, 12.42]
(1, 5),0,[0, 10000, 0.0]
(1, 5),1,[-124625, 10000, -12.4625]
(1, 5),2,[-125475, 10000, -12.5475]
(1, 5),3,[-126400, 10000, -12.64]
(1, 6),0,[0, 10000, 0.0]
(1, 6),1,[125150, 10000, 12.515]
(1, 6),2,[123975, 10000, 12.3975]
(1, 6),3,[123225, 10000, 12.3225]
(2, 2),0,[0, 10000, 0.0]
(2, 2),1,[-125350, 10000, -12.535]
(2, 2),2,[-126225, 10000, -12.6225]
(2, 2),3,[-125500, 10000, -12.55]
(2, 3),0,[0, 10000, 0.0]
(2, 3),1,[126225, 10000, 12.6225]
(2, 3),2,[123400, 10000, 12.34]
(2, 3),3,[125000, 10000, 12.5]
(2, 4),0,[0, 10000, 0.0]
(2, 4),1,[-124950, 10000, -12.495]
(2, 4),2,[-125950, 10000, -12.595]
(2, 4),3,[-127625, 10000, -12.7625]
(2, 5),0,[0, 10000, 0.0]
(2, 5),1,[124850, 10000, 12.485]
(2, 5),2,[125225, 10000, 12.5225]
(2, 5),3,[125125, 10000, 12.5125]
(2, 6),0,[0, 10000, 0.0]
(2, 6),1,[-124175, 10000, -12.4175]
(2, 6),2,[-123750, 10000, -12.375]
(2, 6),3,[-125350, 10000, -12.535]
(3, 3),0,[0, 10000, 0.0]
(3, 3),1,[-126450, 10000, -12.645]
(3, 3),2,[-125325, 10000, -12.5325]
(3, 3),3,[-126825, 10000, -12.6825]
(3, 4),0,[0, 10000, 0.0]
(3, 4),1,[123850, 10000, 12.385]
(3, 4),2,[124700, 10000, 12.47]
(3, 4),3,[126925, 10000, 12.6925]
(3, 5),0,[0, 10000, 0.0]
(3, 5),1,[-124025, 10000, -12.4025]
(3, 5),2,[-125275, 10000, -12.5275]
(3, 5),3,[-123700, 10000, -12.37]
(3, 6),0,[0, 10000, 0.0]
(3, 6),1,[123625, 10000, 12.3625]
(3, 6),2,[126600, 10000, 12.66]
(3, 6),3,[125450, 10000, 12.545]
(4, 4),0,[0, 10000, 0.0]
(4, 4),1,[-121800, 10000, -12.18]
(4, 4),2,[-123100, 10000, -12.31]
(4, 4),3,[-124300, 10000, -12.43]
(4, 5),0,[0, 10000, 0.0]
(4, 5),1,[122750, 10000, 12.275]
(4, 5),2,[126600, 10000, 12.66]
(4, 5),3,[121175, 10000, 12.1175]
(4, 6),0,[0, 10000, 0.0]
(4, 6),1,[-124825, 10000, -12.4825]
(4, 6),2,[-124500, 10000, -12.45]
(4, 6),3,[-125275, 10000, -12.5275]
(5, 5),0,[0, 10000, 0.0]
(5, 5),1,[-125350, 10000, -12.535]
(5, 5),2,[-122775, 10000, -12.2775]
(5, 5),3,[-123875, 10000, -12.3875]
(5, 6),0,[0, 10000, 0.0]
(5, 6),1,[126550, 10000, 12.655]
(5, 6),2,[125675, 10000, 12.5675]
(5, 6),3,[125500, 10000, 12.55]
(6, 6),0,[0, 10000, 0.0]
(6, 6),1,[-121325, 10000, -12.1325]
(6, 6),2,[-124375, 10000, -12.4375]
(6, 6),3,[-125825, 10000, -12.5825]
